,agro_industria_e_comercio,alimentos,alimentos_bebidas,artes,artes_e_artesanato,artigos_de_festas,artigos_de_natal,audio,automotivo,bebes,bebidas,beleza_saude,brinquedos,cama_mesa_banho,casa_conforto,casa_conforto_2,casa_construcao,cds_dvds_musicais,cine_foto,climatizacao,consoles_games,construcao_ferramentas_construcao,construcao_ferramentas_ferramentas,construcao_ferramentas_iluminacao,construcao_ferramentas_jardim,construcao_ferramentas_seguranca,cool_stuff,dvds_blu_ray,eletrodomesticos,eletrodomesticos_2,eletronicos,eletroportateis,esporte_lazer,fashion_bolsas_e_acessorios,fashion_calcados,fashion_esporte,fashion_roupa_feminina,fashion_roupa_infanto_juvenil,fashion_roupa_masculina,fashion_underwear_e_moda_praia,ferramentas_jardim,flores,fraldas_higiene,industria_comercio_e_negocios,informatica_acessorios,instrumentos_musicais,la_cuisine,livros_importados,livros_interesse_geral,livros_tecnicos,malas_acessorios,market_place,moveis_colchao_e_estofado,moveis_cozinha_area_de_servico_jantar_e_jardim,moveis_decoracao,moveis_escritorio,moveis_quarto,moveis_sala,musica,papelaria,pc_gamer,pcs,perfumaria,pet_shop,portateis_casa_forno_e_cafe,portateis_cozinha_e_preparadores_de_alimentos,relogios_presentes,seguros_e_servicos,sinalizacao_e_seguranca,tablets_impressao_imagem,telefonia,telefonia_fixa,utilidades_domesticas
pet_shop,0,1,0,0,0,0,0,1,4,1,0,5,2,14,0,0,2,0,0,1,2,2,0,0,1,0,1,0,0,0,2,0,3,5,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,1,0,0,0,8,0,1,0,0,0,1,0,3,0,0,0,1,0,0,1,1,0,3
portateis_casa_forno_e_cafe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
portateis_cozinha_e_preparadores_de_alimentos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
relogios_presentes,0,1,1,0,0,0,1,7,5,3,0,14,10,9,1,0,0,0,0,0,1,2,0,0,0,0,6,0,2,0,6,1,20,10,3,1,0,0,0,1,6,0,0,0,4,2,0,0,1,0,1,1,0,1,21,1,0,0,0,8,0,0,4,1,0,0,0,0,0,0,9,0,12
seguros_e_servicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sinalizacao_e_seguranca,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tablets_impressao_imagem,0,0,0,0,0,0,0,0,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
telefonia,0,0,0,0,0,0,0,1,9,3,4,11,4,11,0,0,1,0,1,1,0,1,0,0,1,0,7,0,0,0,4,2,9,4,0,0,0,0,0,0,5,0,0,0,20,1,0,0,0,0,3,0,0,0,1,1,0,1,0,2,0,0,4,1,0,0,9,0,0,0,0,1,3
telefonia_fixa,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
utilidades_domesticas,1,0,4,1,0,0,0,0,4,14,4,11,10,59,2,0,4,0,0,0,4,6,0,0,0,0,6,1,2,1,2,6,24,11,1,0,0,0,1,0,22,0,0,1,18,1,0,0,2,0,3,2,0,1,56,2,1,2,0,12,0,0,8,3,0,0,12,0,0,0,3,4,0
